Battery Capacity (mAh),Battery Voltage (V),Energy (Wh),Energy Density (Wh/lb),Battery Weight (oz)
1300,22.2,28.86,66.15472779,6.98
2000,22.2,44.4,96.78474114,7.34
2250,22.2,49.95,71.48479428,11.18
2800,22.2,62.16,76.62249615,12.98
3250,22.2,72.15,67.74647887,17.04
3750,22.2,83.25,64.88066245,20.53
4000,22.2,88.8,70.30183078,20.21
4500,22.2,99.9,74.06858202,21.58
4750,22.2,105.45,90.6122449,18.62
5450,22.2,120.99,79.20785597,24.44
5200,22.2,115.44,71.14946071,25.96
6000,22.2,133.2,76.30504834,27.93
1300,29.6,38.48,67.14067612,9.17
2000,29.6,59.2,72.58237548,13.05
2250,29.6,66.6,72.83663705,14.63
2800,29.6,82.88,77.05287623,17.21
3250,29.6,96.2,68.28748891,22.54
4000,29.6,118.4,70.76578259,26.77
4500,29.6,133.2,75.14809591,28.36
3750,29.6,111,66.07142857,26.88
4750,29.6,140.6,90.60008055,24.83
5450,29.6,161.32,79.6396174,32.41
5200,29.6,153.92,71.54909936,34.42
6000,29.6,177.6,77.02900515,36.89
6500,29.6,192.4,69.09988777,44.55
7500,29.6,222,67.95484982,52.27
8000,29.6,236.8,71.23143448,53.19
8000,29.6,236.8,80.64708387,46.98
1300,37,48.1,67.74647887,11.36
2000,37,74,72.95132471,16.23
2250,37,83.25,73.59116022,18.1
2800,37,103.6,77.31343284,21.44
3250,37,120.25,68.61626248,28.04
3750,37,138.75,66.82721252,33.22
4000,37,148,71.04710471,33.33
4500,37,166.5,75.83262169,35.13
4750,37,175.75,90.59278351,31.04
5200,37,192.4,71.77430637,42.89
5450,37,201.65,79.90094106,40.38
6000,37,222,77.47001091,45.85
6500,37,240.5,69.27092709,55.55
7500,37,277.5,68.33923349,64.97
8000,37,296,71.42210828,66.31
8000,37,296,80.79153872,58.62
1300,14.8,19.24,64.26722338,4.79
2000,14.8,29.6,70.68656716,6.7
2250,14.8,33.3,69.01554404,7.72
2800,14.8,41.44,47.25873129,14.03
3250,14.8,48.1,66.74761492,11.53
3750,14.8,55.5,62.62341326,14.18
4000,14.8,59.2,69.23976608,13.68
4500,14.8,66.6,71.9513842,14.81
4750,14.8,70.3,90.6365834,12.41
5200,14.8,76.96,70.40365923,17.49
5450,14.8,80.66,78.35822708,16.47
6000,14.8,88.8,74.89720611,18.97
6500,14.8,96.2,68.28748891,22.54
7500,14.8,111,66.09601786,26.87